correct_answer,question_text,category,isActive
Authorization,権限確認,バックエンド,1
Session,ログイン状態などをサーバー側で覚える,バックエンド,1
Cookie,ブラウザ側に保存する小さな記憶,バックエンド,1
JWT,署名付きトークンで認証情報を持つ方式,バックエンド,1
OAuth,外部サービスでログイン連携する仕組み,バックエンド,1
CSRF,偽物フォーム送信攻撃,バックエンド,1
XSS,画面に悪意あるJSを混ぜる攻撃,バックエンド,1
SQL Injection,SQL命令を差し込む攻撃,バックエンド,1
SSRF,サーバーに内側からアクセスさせる攻撃,バックエンド,1
RCE,遠隔からコード実行される最悪級の穴,バックエンド,1
CORS,別ドメイン通信の許可ルール,バックエンド,1
REST API,URLとHTTPメソッドで資源を操作するAPI,バックエンド,1
GraphQL,必要なデータだけ指定して取るAPI方式,バックエンド,1
RPC,関数呼び出しのように通信する方式,バックエンド,1
Webhook,外部イベントをサーバーへ通知する仕組み,バックエンド,1
Cron,定期実行の時限装置,バックエンド,1
Queue,重い処理を後回しにする待機列,バックエンド,1
Job,Queueで実行される作業単位,バックエンド,1
Worker,Jobを処理する裏方,バックエンド,1
Event,アプリ内で起きた出来事,バックエンド,1
Listener,Event発生時に動く処理,バックエンド,1
Observer,Modelの変化を監視する処理,バックエンド,1
Policy,権限判定ルール,バックエンド,1
Gate,権限チェックの関所,バックエンド,1
Form Request,Laravelのバリデーション専用リクエスト,バックエンド,1
Blade,Laravelのテンプレートエンジン,バックエンド,1
Artisan,LaravelのCLI司令塔,バックエンド,1
Composer,PHPライブラリ管理,バックエンド,1
PSR,PHP界の標準作法,バックエンド,1
Namespace,クラス名の住所,バックエンド,1
Autoload,クラスを自動読み込みする仕組み,バックエンド,1
Dependency Injection,必要な依存を外から渡す設計,バックエンド,1
Service Container,依存関係を解決するLaravelの中枢,バックエンド,1
Facade,複雑な処理を簡単に呼ぶ表玄関,バックエンド,1
Trait,クラスに機能を混ぜる再利用部品,バックエンド,1
Interface,実装が守るべき契約,バックエンド,1
Abstract Class,共通処理を持つ未完成の親クラス,バックエンド,1
Exception,異常発生を表す仕組み,バックエンド,1
Try / Catch,失敗を捕まえて処理する構文,バックエンド,1
Logging,何が起きたか記録する,バックエンド,1
Monolog,PHPの代表的ログライブラリ,バックエンド,1
Cache,結果を再利用して高速化する,バックエンド,1
Redis,高速なメモリ型データストア,バックエンド,1
Memcached,高速キャッシュ用ストア,バックエンド,1
Rate Limit,短時間の連打を制限する,バックエンド,1
Pagination,大量データをページ分割する,バックエンド,1
N+1問題,DBアクセスが無駄に増殖する病,バックエンド,1
Eager Loading,関連データを先にまとめて取る,バックエンド,1
Transaction,DB処理を全部成功か全部失敗にする,バックエンド,1
Deadlock,DB同士が互いに待って詰む状態,バックエンド,1
Index,DB検索を速くする索引,バックエンド,1
Primary Key,行を一意に識別する主鍵,バックエンド,1
Foreign Key,テーブル間の関係を守る鍵,バックエンド,1
Normalization,DBの重複と矛盾を減らす設計,バックエンド,1
Denormalization,速度のためにあえて重複を許す設計,バックエンド,1
API Resource,API返却形式を整えるLaravel機能,バックエンド,1
OpenAPI,API仕様書の標準形式,バックエンド,1
PHPUnit,PHPのテストフレームワーク,バックエンド,1
Pest,PHPテストを読みやすく書く道具,バックエンド,1
Unit Test,小さな部品単位のテスト,バックエンド,1
Feature Test,機能の流れを確認するテスト,バックエンド,1
Integration Test,複数部品の連携確認,バックエンド,1
E2E Test,ユーザー操作の最終確認,バックエンド,1
TDD,テストを先に書く開発思想,バックエンド,1
Mock,本物の代わりに置く偽物,バックエンド,1
Stub,決まった返答をする偽物,バックエンド,1
Fixture,テスト用の固定データ,バックエンド,1
Idempotency,何回実行しても結果が壊れない性質,バックエンド,1
PRG Pattern,POST後にRedirectして二重送信を防ぐ,バックエンド,1
Multi Tenant,複数顧客を1システムで分離運用する設計,バックエンド,1
Domain Driven Design,業務知識を中心に設計する思想,バックエンド,1
Clean Architecture,外側に依存せず中核を守る設計,バックエンド,1
Hexagonal Architecture,入出力を差し替え可能にする設計,バックエンド,1
Server,アプリを動かす土地,インフラ,1
VPS,自分で管理する仮想サーバー,インフラ,1
Shared Hosting,複数人で使う共用サーバー,インフラ,1
Cloud,必要な資源を借りる巨大インフラ,インフラ,1
AWS,世界最大級のクラウド兵站,インフラ,1
GCP,Googleのクラウド基盤,インフラ,1
Azure,Microsoftのクラウド基盤,インフラ,1
Region,サーバーがある地域,インフラ,1
Availability Zone,障害に備えた分離された拠点,インフラ,1
DNS,ドメインをIPへ案内する標識,インフラ,1
A Record,ドメインをIPv4へ向ける設定,インフラ,1
AAAA Record,ドメインをIPv6へ向ける設定,インフラ,1
CNAME,別ドメイン名へ向ける別名設定,インフラ,1
MX Record,メール配送先を決める設定,インフラ,1
TXT Record,所有確認や認証情報を書く設定,インフラ,1
SPF,送信元メールサーバーの許可リスト,インフラ,1
DKIM,メールに電子署名する仕組み,インフラ,1
DMARC,SPF/DKIM失敗時の扱いを決める規則,インフラ,1
SSL / TLS,通信を暗号化する鎧,インフラ,1
HTTPS,暗号化されたHTTP,インフラ,1
Certificate,SSL/TLS用の証明書,インフラ,1
Let’s Encrypt,無料SSL証明書の代表格,インフラ,1
Nginx,高速なWebサーバー兼リバースプロキシ,インフラ,1
Apache,歴史あるWebサーバー,インフラ,1
Reverse Proxy,入口で裏側のサーバーへ振り分ける門番,インフラ,1
Load Balancer,複数サーバーへ負荷分散する指揮官,インフラ,1
CDN,世界中に静的ファイルを配る補給網,インフラ,1
Cloudflare,DNS/CDN/WAFをまとめる防壁,インフラ,1
WAF,Web攻撃を入口で弾く盾,インフラ,1
Firewall,通信の出入りを制限する門,インフラ,1
Port,通信の出入口番号,インフラ,1
SSH,サーバーへ安全に入る通路,インフラ,1
SFTP,SSH経由で安全にファイル転送する,インフラ,1
rsync,差分だけ転送する高速同期,インフラ,1
SCP,SSH経由でファイルコピーする,インフラ,1
Cron,定期実行の時計,インフラ,1
systemd,Linuxサービス管理の司令塔,インフラ,1
Process,実行中のプログラム,インフラ,1
Daemon,裏で常駐するプログラム,インフラ,1
Environment Variable,環境ごとの設定値,インフラ,1
Secret,外に出してはいけない秘密情報,インフラ,1
.env,環境変数を書く設定ファイル,インフラ,1
Docker,環境を箱に閉じ込める技術,インフラ,1
Container,アプリ実行環境の箱,インフラ,1
Image,Containerの元になる設計図,インフラ,1
Dockerfile,Imageを作る手順書,インフラ,1
Docker Compose,複数Containerをまとめて動かす指揮書,インフラ,1
Volume,Container外にデータを残す保存領域,インフラ,1
Network,Container同士の通信網,インフラ,1
Kubernetes,大量Containerを統率する艦隊指揮,インフラ,1
Pod,Kubernetes上の実行単位,インフラ,1
Deployment,Podの数や更新を管理する設定,インフラ,1
Service,Podへの入口を安定させる仕組み,インフラ,1
Ingress,外部HTTPアクセスの入口管理,インフラ,1
CI,テストやビルドを自動実行する流れ,インフラ,1
CD,デプロイまで自動化する流れ,インフラ,1
GitHub Actions,GitHub上で自動処理を走らせる小隊,インフラ,1
Workflow,Actionsの自動処理手順,インフラ,1
Runner,Workflowを実行する環境,インフラ,1
Artifact,ビルド後に残す成果物,インフラ,1
Build,公開用ファイルを生成する処理,インフラ,1
Deploy,成果物を本番へ出す作業,インフラ,1
Rollback,問題時に前の状態へ戻す撤退術,インフラ,1
Blue-Green Deploy,新旧環境を切り替える安全デプロイ,インフラ,1
Canary Release,一部ユーザーだけに新機能を出す偵察展開,インフラ,1
Zero Downtime Deploy,サービス停止なしで更新する術,インフラ,1
Infrastructure as Code,インフラ設定をコードで管理する思想,インフラ,1
Terraform,クラウド資源をコード管理する代表武器,インフラ,1
Ansible,サーバー設定を自動化する道具,インフラ,1
Observability,システム内部状態を観測できる力,インフラ,1
Monitoring,異常を監視する仕組み,インフラ,1
Metrics,数値で見る健康状態,インフラ,1
Logs,何が起きたかの記録,インフラ,1
Tracing,リクエストの流れを追跡する,インフラ,1
Alert,異常時に通知する仕組み,インフラ,1
SLI,実際に測る信頼性指標,インフラ,1
SLO,守りたい信頼性目標,インフラ,1
SLA,顧客に約束する信頼性,インフラ,1
Uptime,稼働している時間割合,インフラ,1
Latency,反応までの遅延,インフラ,1
Throughput,一定時間に処理できる量,インフラ,1
Bottleneck,全体速度を詰まらせる原因,インフラ,1
Scaling Up,1台の性能を上げる,インフラ,1
Scaling Out,台数を増やして処理する,インフラ,1
Auto Scaling,負荷に応じて台数を自動増減する,インフラ,1
Backup,データの控え,インフラ,1
Snapshot,ある時点の丸ごと保存,インフラ,1
Disaster Recovery,障害から復旧する作戦,インフラ,1
RTO,何時間で復旧するか,インフラ,1
RPO,どこまでデータ損失を許すか,インフラ,1
Staging,本番前に確認する環境,インフラ,1
Production,実際にユーザーが使う本番環境,インフラ,1
Development,開発用環境,インフラ,1
Local Environment,自分のPC上の開発環境,インフラ,1
Permission,ファイルや操作の権限,インフラ,1
chmod,Linux権限を変更する命令,インフラ,1
chown,所有者を変更する命令,インフラ,1
403,権限不足の拒絶,インフラ,1
404,見つからない,インフラ,1
500,サーバー内部エラー,インフラ,1
502,代理サーバー先が死んでいる,インフラ,1
503,一時的に利用不可,インフラ,1
504,応答待ち時間切れ,インフラ,1
要件定義,何を作るか決める契約前の地図,開発現場,1
基本設計,どういう構成で作るかの大枠,開発現場,1
詳細設計,実装できる粒度まで落とした設計,開発現場,1
仕様,こう動くべきという約束,開発現場,1
仕様変更,約束の地形が変わる災害,開発現場,1
影響範囲,変更で壊れる可能性がある領域,開発現場,1
リグレッション,修正で昔の機能が壊れる現象,開発現場,1
技術的負債,未来の自分に押し付けた借金,開発現場,1
リファクタリング,挙動を変えずに中身を整える,開発現場,1
可読性,未来の自分と他人が読める力,開発現場,1
保守性,後から直しやすい力,開発現場,1
拡張性,後から機能を足しやすい力,開発現場,1
再利用性,別の場所でも使い回せる力,開発現場,1
疎結合,変更の巻き添えを減らす設計,開発現場,1
高凝集,関連する処理を一箇所に集める設計,開発現場,1
関心の分離,役割ごとに責務を分ける思想,開発現場,1
単一責任原則,1つの部品に1つの役目だけ持たせる,開発現場,1
DRY,同じ知識を重複させない,開発現場,1
KISS,余計に複雑にするな,開発現場,1
YAGNI,今いらないものは作るな,開発現場,1
MVP,最小価値でまず動かす形,開発現場,1
PoC,実現できるか試す実験,開発現場,1
Code Review,他人の目で品質を守る儀式,開発現場,1
Pull Request,変更を提案・確認する単位,開発現場,1
Branch,作業を分離する枝,開発現場,1
Merge,変更を本流に合流させる,開発現場,1
Conflict,同じ場所を別々に変えて衝突する,開発現場,1
Issue,課題や作業を記録する札,開発現場,1
Milestone,複数Issueを束ねる目標地点,開発現場,1
Release,ユーザーに出す版,開発現場,1
Semantic Versioning,バージョン番号の意味ルール,開発現場,1
Changelog,変更履歴の記録,開発現場,1
README,初見の人にプロジェクトを案内する門,開発現場,1
Architecture Doc,構造と方針を残す設計書,開発現場,1
Runbook,障害時の対応手順書,開発現場,1
Onboarding,新メンバーが入るための導線,開発現場,1
DX,開発者の作業体験,開発現場,1
UX,ユーザーの利用体験,開発現場,1
KPI,成果を見る数値目標,開発現場,1
CVR,成約率,開発現場,1
AB Test,複数案を実地で比較する実験,開発現場,1
Analytics,利用状況を測る仕組み,開発現場,1
Heatmap,ユーザーの視線やクリックの痕跡地図,開発現場,1
